data,Transportes,Transporte público,Ônibus urbano,Táxi,Trem,Ônibus intermunicipal,Ônibus interestadual,Passagem aérea,Metrô,Transporte escolar,Veículo próprio,Automóvel novo,Emplacamento e licença,Seguro voluntário de veículo,Óleo lubrificante,Acessórios e peças,Pneu e câmara-de-ar,Conserto de automóvel,Estacionamento,Pedágio,Lubrificação e lavagem,Automóvel usado,Pintura de veículo,Motocicleta,Combustíveis (veículos),Gasolina,Etanol,Óleo diesel
01/12/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/03,"-1,84","8,66","10,66","5,01","11,66","8,83",7,"-1,94","8,44","-1,48","-5,18","-7,58","-4,3","-5,7","6,44","-1,55","10,27","-0,67","-5,98","17,03","-4,84","-7,52","-4,48","-5,5","-9,99","-7,37","-20,03","-6,01"
01/12/04,"1,25","5,72","7,72","1,73","3,84","6,04","4,49","-3,36","1,27","-3,08","-0,7","-2,38","-1,69","8,92","8,3","9,34","20,94","2,03","-14,69","23,17","-9,76","-3,42","-6,41","-6,55","-1,4","-1,31","-2,2","4,74"
01/12/05,"3,53","12,02","12,56","0,1","8,62","12,72","13,19","17,16","11,18","0,99","-1,26","-4,66","8,1","26,4","9,49","7,56","17,45","1,13","-14,81","28,25","-8,53","-4,36","-9,99","-7,98","0,18","0,62","-2,25","10,38"
01/12/06,"3,41","16,19","17,98","5,95","12,55","18,98","16,49","2,64","16,35","2,2","-3,61","-6,7","6,05","24,4","18,89","6,03","11,7","3,06","-10,79","25,34","-6,96","-10,29","-14,47","-9,78","-0,64","0,42","-10,06","7,76"
01/12/07,"1,05","15,9","18,22","4,55","9,99","18,66","16,66","1,33","13,67","-0,76","-5,95","-9,14","10,17","1,3","18,99","6,09","4,53","4,77","-8,81","25,52","-3,53","-14,05","-15,94","-14,1","-5,2","-4,54","-11,71","2,7"
01/12/08,"-2,37","14,29","15,07","1,88","9,74","18,39","20,47","7,33","12,01","-1,97","-9,61","-16,13","8,96","1,55","35,21","8,72","9,17","8,07","-7,38","32,61","-2,46","-22,34","-16,59","-20,95","-9,99","-10,1","-15,75","9,56"
01/12/09,"-4,24","16,9","16,14","0,63","12,17","20,49","21,77","35,62","13,38","1,88","-14,31","-22,55","8,98","-6,81","42,41","6,52","5,8","12,13","-2,78","31,18","4,43","-34,44","-8,23","-25,86","-11,5","-12,08","-7,17","-0,62"
01/12/10,"-7,39","16,86","17,97","-1,29","8,71","19,24","14,22","32,17","10,07","3,78","-19,1","-27,6","-6,86","-15,14","36,2","4,28","3,44","12,86","1,62","16,67","14,21","-39,33","-14,33","-30,97","-14,93","-15,59","-8,53","-6,24"
01/12/11,"-7,79","20,98","20,11","1,53","10,88","18,57","14,4","89,74","12,39","0,64","-22,84","-33,98","-9,06","-21,04","34,49","0,98","-0,13","16,97","8,73","16,57","18,58","-45,14","-12,11","-36,54","-14,15","-15,26","-0,6","-10,33"
01/12/12,"-12,46","23,13","19,45","0,18","8,03","19,14","14,29","125,88","9,79","-0,44","-28,78","-41,18","-12,97","-19,59","32,9","-1,09","-3,24","16,05","12,09","16,24","20,21","-53,71","-13,12","-41,59","-19,47","-20,26","-9,69","-9,94"
01/08/13,"-15,08","15,6","15,39","-1,62","4,34","18,56","9,86","60,92","6,05","4,69","-30,16","-41,89","-17,77","-23,17","29,19","-2,35","-4,29","17,48","18,61","13,04","22,98",-56,"-13,36","-42,95","-21,01","-21,32","-14,75","-4,59"
